year,code,country,sex,value,highlighted
2008,LVA,Latvia,Male,58.8722148396972,False
2008,LVA,Latvia,Female,66.12178868892872,False
2009,LVA,Latvia,Male,59.514549529044615,False
2009,LVA,Latvia,Female,66.53412802943473,False
2010,LVA,Latvia,Male,60.0705182385986,False
2010,LVA,Latvia,Female,66.85901701880115,False
2011,LVA,Latvia,Male,60.488208541236496,False
2011,LVA,Latvia,Female,67.09885317144891,False
2012,LVA,Latvia,Male,60.93630172896506,False
2012,LVA,Latvia,Female,67.33653170344527,False
2013,LVA,Latvia,Male,61.29788753614736,False
2013,LVA,Latvia,Female,67.57151596006263,False
2014,LVA,Latvia,Male,61.65198765113957,False
2014,LVA,Latvia,Female,67.8478068317406,False
2015,LVA,Latvia,Male,61.898042553493376,False
2015,LVA,Latvia,Female,68.03320928618979,False
2016,LVA,Latvia,Male,62.118481342838194,False
2016,LVA,Latvia,Female,68.18044979070986,False
2017,LVA,Latvia,Male,62.338284976321056,False
2017,LVA,Latvia,Female,68.32824957682577,False
2018,LVA,Latvia,Male,62.634490636260594,False
2018,LVA,Latvia,Female,68.47249185327088,False
2019,LVA,Latvia,Male,62.9087625338724,False
2019,LVA,Latvia,Female,68.64769416384203,False
2020,LVA,Latvia,Male,62.49145150211138,False
2020,LVA,Latvia,Female,68.13496552802584,False
2021,LVA,Latvia,Male,60.77712082399511,False
2021,LVA,Latvia,Female,66.74863628403185,False
2022,LVA,Latvia,Male,61.44877820858442,False
2022,LVA,Latvia,Female,67.55056928849736,False
2023,LVA,Latvia,Male,62.06041498497486,False
2023,LVA,Latvia,Female,68.28305948696504,False
2000,MEX,Mexico,Male,61.25237627877559,False
2000,MEX,Mexico,Female,63.78361370199978,False
2001,MEX,Mexico,Male,61.551885922074135,False
2001,MEX,Mexico,Female,64.02191715215432,False
2002,MEX,Mexico,Male,61.61590731335145,False
2002,MEX,Mexico,Female,64.10285619225174,False
2003,MEX,Mexico,Male,61.70872976212062,False
2003,MEX,Mexico,Female,64.15319499973906,False
2004,MEX,Mexico,Male,61.887823181390246,False
2004,MEX,Mexico,Female,64.28132662682846,False
2005,MEX,Mexico,Male,61.956055580272725,False
2005,MEX,Mexico,Female,64.33818147362193,False
2006,MEX,Mexico,Male,62.16811627414308,False
2006,MEX,Mexico,Female,64.57577169993291,False
2007,MEX,Mexico,Male,62.30309001058359,False
2007,MEX,Mexico,Female,64.74509152663053,False
2008,MEX,Mexico,Male,62.221621970522975,False
2008,MEX,Mexico,Female,64.84000706163194,False
2009,MEX,Mexico,Male,62.3354774497486,False
2009,MEX,Mexico,Female,65.08737962397373,False
2010,MEX,Mexico,Male,62.16791300935928,False
2010,MEX,Mexico,Female,65.0273867667298,False
2011,MEX,Mexico,Male,62.30848472623413,False
2011,MEX,Mexico,Female,65.20124433640378,False
2012,MEX,Mexico,Male,62.496187794060525,False
2012,MEX,Mexico,Female,65.3110732484878,False
2013,MEX,Mexico,Male,62.66294350998742,False
2013,MEX,Mexico,Female,65.34677171017947,False
2014,MEX,Mexico,Male,62.72788644528117,False
2014,MEX,Mexico,Female,65.31031413660128,False
2015,MEX,Mexico,Male,62.67211012773371,False
2015,MEX,Mexico,Female,65.28659828393384,False
2016,MEX,Mexico,Male,62.47727677946724,False
2016,MEX,Mexico,Female,65.2812030487593,False
2017,MEX,Mexico,Male,62.36541999922807,False
2017,MEX,Mexico,Female,65.361053512058,False
2018,MEX,Mexico,Male,62.39410816996181,False
2018,MEX,Mexico,Female,65.53090432473758,False
2019,MEX,Mexico,Male,62.48104116566789,False
2019,MEX,Mexico,Female,65.66559385835288,False
2020,MEX,Mexico,Male,58.320582442261845,False
2020,MEX,Mexico,Female,62.67208091599846,False
2021,MEX,Mexico,Male,58.05521442151756,False
2021,MEX,Mexico,Female,61.954754222826985,False
2022,MEX,Mexico,Male,61.37707134469504,False
2022,MEX,Mexico,Female,64.4316688246264,False
2023,MEX,Mexico,Male,62.31371425330642,False
2023,MEX,Mexico,Female,65.07037764003125,False
2000,NLD,Netherlands,Male,64.70735664849032,False
2000,NLD,Netherlands,Female,67.1405982483792,False
2001,NLD,Netherlands,Male,64.8398658764231,False
2001,NLD,Netherlands,Female,67.12672967205623,False
2002,NLD,Netherlands,Male,64.93642635559468,False
2002,NLD,Netherlands,Female,67.12025804702724,False
2003,NLD,Netherlands,Male,65.13565188368221,False
2003,NLD,Netherlands,Female,67.25237069546729,False
2004,NLD,Netherlands,Male,65.43976084638295,False
2004,NLD,Netherlands,Female,67.42415713532056,False
2005,NLD,Netherlands,Male,65.73879181323159,False
2005,NLD,Netherlands,Female,67.64004915663989,False
2006,NLD,Netherlands,Male,66.00775409450522,False
2006,NLD,Netherlands,Female,67.7463168758314,False
2007,NLD,Netherlands,Male,66.25468967769676,False
2007,NLD,Netherlands,Female,67.85155391984239,False
2008,NLD,Netherlands,Male,66.46652333473429,False
2008,NLD,Netherlands,Female,67.8925761206903,False
2009,NLD,Netherlands,Male,66.60813813759603,False
2009,NLD,Netherlands,Female,67.99711740744658,False
2010,NLD,Netherlands,Male,66.79786866639347,False
2010,NLD,Netherlands,Female,68.05363061127316,False
2011,NLD,Netherlands,Male,67.17510840344714,False
2011,NLD,Netherlands,Female,68.22221687964964,False
2012,NLD,Netherlands,Male,67.48407703884288,False
2012,NLD,Netherlands,Female,68.36074265193889,False
2013,NLD,Netherlands,Male,67.94301553769385,False
2013,NLD,Netherlands,Female,68.59910692113344,False
2014,NLD,Netherlands,Male,68.48752227424109,False
2014,NLD,Netherlands,Female,68.86676267611612,False
2015,NLD,Netherlands,Male,68.74047552687968,False
2015,NLD,Netherlands,Female,69.00015822324873,False
2016,NLD,Netherlands,Male,68.93103657889064,False
